date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:12:10	125/125	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Feb%202024%2008:12:10%20GMT	https://florr.io/robots.txt		(from )
09:12:11	9614/9614	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Feb%202024%2001:58:20%20GMT	https://florr.io/	C:/My%20Web%20Sites/Florr/florr.io/index.html	(from )
09:12:11	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Feb%202024%2008:12:10%20GMT	http://static.florr.io/b72602aad8826b045ddf9a98ee725b02349292e4/apple-touch-icon.png	C:/My%20Web%20Sites/Florr/static.florr.io/b72602aad8826b045ddf9a98ee725b02349292e4/apple-touch-icon.0.delayed	(from https://florr.io/)
09:12:11	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Feb%202024%2008:12:11%20GMT	http://static.florr.io/b72602aad8826b045ddf9a98ee725b02349292e4/favicon-32x32.png	C:/My%20Web%20Sites/Florr/static.florr.io/b72602aad8826b045ddf9a98ee725b02349292e4/favicon-32x32.png	(from https://florr.io/)
09:12:11	13430/13430	---MC-	200	added ('OK')	image/png	date:Fri,%2009%20Feb%202024%2002:52:36%20GMT	https://static.florr.io/b72602aad8826b045ddf9a98ee725b02349292e4/apple-touch-icon.png	C:/My%20Web%20Sites/Florr/static.florr.io/b72602aad8826b045ddf9a98ee725b02349292e4/apple-touch-icon.png	(from https://florr.io/)
09:12:11	1354/1354	---MC-	200	added ('OK')	image/png	date:Fri,%2009%20Feb%202024%2002:06:13%20GMT	https://static.florr.io/b72602aad8826b045ddf9a98ee725b02349292e4/favicon-32x32.png	C:/My%20Web%20Sites/Florr/static.florr.io/b72602aad8826b045ddf9a98ee725b02349292e4/favicon-32x32.png	(from https://florr.io/)
09:12:12	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Feb%202024%2008:12:11%20GMT	http://static.florr.io/b72602aad8826b045ddf9a98ee725b02349292e4/favicon-16x16.png	C:/My%20Web%20Sites/Florr/static.florr.io/b72602aad8826b045ddf9a98ee725b02349292e4/favicon-16x16.png	(from https://florr.io/)
09:12:12	752/752	---MC-	200	added ('OK')	image/png	date:Mon,%2019%20Feb%202024%2009:19:36%20GMT	https://static.florr.io/b72602aad8826b045ddf9a98ee725b02349292e4/favicon-16x16.png	C:/My%20Web%20Sites/Florr/static.florr.io/b72602aad8826b045ddf9a98ee725b02349292e4/favicon-16x16.png	(from https://florr.io/)
09:12:13	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Feb%202024%2008:12:12%20GMT	http://static.florr.io/b72602aad8826b045ddf9a98ee725b02349292e4/client.js	C:/My%20Web%20Sites/Florr/static.florr.io/b72602aad8826b045ddf9a98ee725b02349292e4/client.js	(from https://florr.io/)
09:12:13	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2021%20Feb%202024%2008:12:12%20GMT	http://static.florr.io/cdn-cgi/challenge-platform/scripts/jsd/main.js	C:/My%20Web%20Sites/Florr/static.florr.io/cdn-cgi/challenge-platform/scripts/jsd/main.js	(from https://florr.io/)
09:12:13	0/0	---MCZ	302	error ('Found')	text/html	date:Wed,%2021%20Feb%202024%2008:12:13%20GMT	https://static.florr.io/cdn-cgi/challenge-platform/scripts/jsd/main.js	C:/My%20Web%20Sites/Florr/static.florr.io/cdn-cgi/challenge-platform/scripts/jsd/main.a.delayed	(from https://florr.io/)
09:12:14	7810/7810	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2021%20Feb%202024%2008:12:13%20GMT	https://static.florr.io/cdn-cgi/challenge-platform/h/b/scripts/jsd/0f752fefe334/main.js	C:/My%20Web%20Sites/Florr/static.florr.io/cdn-cgi/challenge-platform/h/b/scripts/jsd/0f752fefe334/main.js	(from https://florr.io/)
09:12:17	116931/116931	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2009%20Feb%202024%2002:06:09%20GMT	https://static.florr.io/b72602aad8826b045ddf9a98ee725b02349292e4/client.js	C:/My%20Web%20Sites/Florr/static.florr.io/b72602aad8826b045ddf9a98ee725b02349292e4/client.js	(from https://florr.io/)
09:12:22	630683/630683	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265b77770-99f9b%22	http://api.adinplay.com/libs/aiptag/pub/DGD/florr.io/tag.min.js	C:/My%20Web%20Sites/Florr/api.adinplay.com/libs/aiptag/pub/DGD/florr.io/tag.min.js	(from https://florr.io/)
